,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),label
0,4.9,3.0,1.4,0.2,0
1,4.9,3.1,1.5,0.1,0
2,4.5,2.3,1.3,0.3,0
3,4.4,2.9,1.4,0.2,0
4,4.9,3.1,1.5,0.2,0
5,4.6,3.1,1.5,0.2,0
6,4.6,3.6,1.0,0.2,0
7,4.6,3.2,1.4,0.2,0
8,5.7,4.4,1.5,0.4,0
9,5.8,4.0,1.2,0.2,0
10,5.4,3.9,1.7,0.4,0
11,5.0,3.4,1.5,0.2,0
12,4.8,3.1,1.6,0.2,0
13,5.1,3.7,1.5,0.4,0
14,5.1,3.4,1.5,0.2,0
15,5.0,3.0,1.6,0.2,0
16,4.7,3.2,1.6,0.2,0
17,4.6,3.4,1.4,0.3,0
18,5.2,4.1,1.5,0.1,0
19,5.2,3.4,1.4,0.2,0
20,5.1,3.8,1.5,0.3,0
21,5.7,3.8,1.7,0.3,0
22,4.4,3.2,1.3,0.2,0
23,4.8,3.0,1.4,0.3,0
24,4.4,3.0,1.3,0.2,0
25,4.8,3.4,1.9,0.2,0
26,5.2,3.5,1.5,0.2,0
27,5.0,3.6,1.4,0.2,0
28,5.0,3.4,1.6,0.4,0
29,4.3,3.0,1.1,0.1,0
30,5.1,3.5,1.4,0.3,0
31,5.1,3.3,1.7,0.5,0
32,5.4,3.4,1.7,0.2,0
33,5.4,3.7,1.5,0.2,0
34,5.0,3.2,1.2,0.2,0
35,5.4,3.4,1.5,0.4,0
36,5.5,3.5,1.3,0.2,0
37,4.9,3.6,1.4,0.1,0
38,5.1,3.8,1.6,0.2,0
39,5.1,3.5,1.4,0.2,0
40,5.6,2.5,3.9,1.1,1
41,5.7,2.8,4.5,1.3,1
42,6.1,3.0,4.6,1.4,1
43,5.6,3.0,4.5,1.5,1
44,6.1,2.8,4.0,1.3,1
45,5.7,2.9,4.2,1.3,1
46,6.6,3.0,4.4,1.4,1
47,5.6,2.9,3.6,1.3,1
48,5.9,3.0,4.2,1.5,1
49,5.8,2.7,3.9,1.2,1
50,6.4,3.2,4.5,1.5,1
51,7.0,3.2,4.7,1.4,1
52,4.9,2.4,3.3,1.0,1
53,5.9,3.2,4.8,1.8,1
54,6.2,2.2,4.5,1.5,1
55,6.7,3.0,5.0,1.7,1
56,5.2,2.7,3.9,1.4,1
57,6.0,2.9,4.5,1.5,1
58,5.7,2.6,3.5,1.0,1
59,5.4,3.0,4.5,1.5,1
60,5.5,2.5,4.0,1.3,1
61,5.1,2.5,3.0,1.1,1
62,6.3,3.3,4.7,1.6,1
63,5.8,2.6,4.0,1.2,1
64,6.7,3.1,4.7,1.5,1
65,5.5,2.4,3.8,1.1,1
66,6.6,2.9,4.6,1.3,1
67,6.4,2.9,4.3,1.3,1
68,5.5,2.6,4.4,1.2,1
69,6.8,2.8,4.8,1.4,1
70,6.1,2.8,4.7,1.2,1
71,6.9,3.1,4.9,1.5,1
72,5.5,2.4,3.7,1.0,1
73,5.0,2.3,3.3,1.0,1
74,6.3,2.3,4.4,1.3,1
75,6.0,3.4,4.5,1.6,1
76,6.2,2.9,4.3,1.3,1
77,6.1,2.9,4.7,1.4,1
78,5.6,3.0,4.1,1.3,1
79,5.7,3.0,4.2,1.2,1
80,7.2,3.2,6.0,1.8,2
81,6.8,3.2,5.9,2.3,2
82,6.7,2.5,5.8,1.8,2
83,6.7,3.1,5.6,2.4,2
84,6.4,3.2,5.3,2.3,2
85,5.8,2.7,5.1,1.9,2
86,6.1,2.6,5.6,1.4,2
87,6.0,3.0,4.8,1.8,2
88,5.8,2.7,5.1,1.9,2
89,7.4,2.8,6.1,1.9,2
90,6.5,3.2,5.1,2.0,2
91,6.5,3.0,5.2,2.0,2
92,6.4,2.8,5.6,2.2,2
93,6.2,3.4,5.4,2.3,2
94,5.6,2.8,4.9,2.0,2
95,6.9,3.1,5.4,2.1,2
96,7.6,3.0,6.6,2.1,2
97,4.9,2.5,4.5,1.7,2
98,5.8,2.8,5.1,2.4,2
99,7.7,2.8,6.7,2.0,2
100,6.3,2.5,5.0,1.9,2
101,6.5,3.0,5.8,2.2,2
102,7.9,3.8,6.4,2.0,2
103,6.1,3.0,4.9,1.8,2
104,7.1,3.0,5.9,2.1,2
105,6.7,3.3,5.7,2.1,2
106,5.7,2.5,5.0,2.0,2
107,7.2,3.6,6.1,2.5,2
108,6.3,3.3,6.0,2.5,2
109,7.7,2.6,6.9,2.3,2
110,6.3,2.8,5.1,1.5,2
111,6.4,3.1,5.5,1.8,2
112,6.9,3.1,5.1,2.3,2
113,6.0,2.2,5.0,1.5,2
114,7.3,2.9,6.3,1.8,2
115,6.4,2.7,5.3,1.9,2
116,6.3,2.7,4.9,1.8,2
117,6.3,2.9,5.6,1.8,2
118,6.3,3.4,5.6,2.4,2
119,6.2,2.8,4.8,1.8,2
